Salticidae Blackwall,1841;Agorioides cherubino;Maddison & Szűts, 2019; Papua New Guinea
Salticidae Blackwall,1841;Agorioides papagena;Maddison & Szűts, 2019; Papua New Guinea
Salticidae Blackwall,1841;Agorius baloghi;Szűts, 2003; New Guinea, Papua New Guinea (New Britain)
Salticidae Blackwall,1841;Agorius borneensis;Edmunds & Prószyński, 2001; Borneo
Salticidae Blackwall,1841;Agorius cinctus;Simon, 1901; Indonesia (Java, Lombok)
Salticidae Blackwall,1841;Agorius constrictus;Simon, 1901; Malaysia, Singapore
Salticidae Blackwall,1841;Agorius formicinus;Simon, 1903; Indonesia (Sumatra)
Salticidae Blackwall,1841;Agorius gracilipes;Thorell, 1877; Indonesia (Sulawesi)
Salticidae Blackwall,1841;Agorius hyodoi;Yamasaki, 2020; Malaysia (Borneo)
Salticidae Blackwall,1841;Agorius kerinci;Prószyński, 2009; Indonesia (Sumatra)
Salticidae Blackwall,1841;Agorius lindu;Prószyński, 2009; Indonesia (Sulawesi)
Salticidae Blackwall,1841;Agorius marieae;Freudenschuss & Seiter, 2016; Philippines
Salticidae Blackwall,1841;Agorius saaristoi;Prószyński, 2009; Borneo
Salticidae Blackwall,1841;Agorius semirufus;Simon, 1901; Philippines
Salticidae Blackwall,1841;Agorius tortilis;Cao & Li, 2016; China
Salticidae Blackwall,1841;Aillutticus knysakae;Ruiz & Brescovit, 2006; Brazil
Salticidae Blackwall,1841;Aillutticus montanus;Ruiz & Brescovit, 2006; Brazil
Salticidae Blackwall,1841;Aillutticus nitens;Galiano, 1987; Argentina, Brazil
Salticidae Blackwall,1841;Aillutticus pinquidor;Galiano, 1987; Argentina
Salticidae Blackwall,1841;Aillutticus raizeri;Ruiz & Brescovit, 2006; Brazil
Salticidae Blackwall,1841;Aillutticus rotundus;Galiano, 1987; Brazil
Salticidae Blackwall,1841;Aillutticus soteropolitano;Ruiz & Brescovit, 2006; Brazil
Salticidae Blackwall,1841;Aillutticus viripotens;Ruiz & Brescovit, 2006; Brazil
Salticidae Blackwall,1841;Ajaraneola mastigophora;Wesołowska & Russell-Smith, 2011; Nigeria
Salticidae Blackwall,1841;Akela charlottae;Peckham & Peckham, 1896; Guatemala, Panama
Salticidae Blackwall,1841;Akela fulva;Dyal, 1935; Pakistan
Salticidae Blackwall,1841;Akela ruricola;Galiano, 1999; Brazil, Uruguay, Argentina
Salticidae Blackwall,1841;Albionella propria;Chickering, 1946; Panama
Salticidae Blackwall,1841;Alcmena amabilis;C. L. Koch, 1846; Mexico
Salticidae Blackwall,1841;Alcmena psittacina;C. L. Koch, 1846; Brazil
Salticidae Blackwall,1841;Alcmena tristis;Mello-Leitão, 1945; Argentina
Salticidae Blackwall,1841;Alcmena vittata;Karsch, 1880; Venezuela
Salticidae Blackwall,1841;Alfenus calamistratus;Simon, 1902; Congo
Salticidae Blackwall,1841;Alfenus chrysophaeus;Simon, 1903; Equatorial Guinea or Cameroon
Salticidae Blackwall,1841;Allococalodes alticeps;Wanless, 1982; New Guinea
Salticidae Blackwall,1841;Allococalodes cornutus;Wanless, 1982; New Guinea
Salticidae Blackwall,1841;Allococalodes madidus;Maddison, 2009; New Guinea
Salticidae Blackwall,1841;Allodecta maxillaris;Bryant, 1950; Jamaica
Salticidae Blackwall,1841;Amatorculus cristinae;Ruiz & Brescovit, 2006; Brazil, French Guiana
Salticidae Blackwall,1841;Amatorculus stygius;Ruiz & Brescovit, 2005; Brazil
Salticidae Blackwall,1841;Amilaps mayana;Maddison, 2019; Mexico, Guatemala
Salticidae Blackwall,1841;Amphidraus araripe;Salgado & Ruiz, 2019; Brazil
Salticidae Blackwall,1841;Amphidraus argentinensis;Galiano, 1997; Argentina
Salticidae Blackwall,1841;Amphidraus auriga;Simon, 1900; Bolivia
Salticidae Blackwall,1841;Amphidraus belzonte;Salgado & Ruiz, 2017; Brazil
Salticidae Blackwall,1841;Amphidraus bifidus;Salgado & Ruiz, 2017; Brazil
Salticidae Blackwall,1841;Amphidraus bochica;Galvis, 2017; Colombia
Salticidae Blackwall,1841;Amphidraus boomerang;Salgado & Ruiz, 2019; Brazil
Salticidae Blackwall,1841;Amphidraus caxiuanan;Salgado & Ruiz, 2017; Brazil
Salticidae Blackwall,1841;Amphidraus chie;Galvis, 2017; Colombia
Salticidae Blackwall,1841;Amphidraus colombianus;Galvis, 2017; Colombia
Salticidae Blackwall,1841;Amphidraus complexus;Zhang & Maddison, 2012; Ecuador
Salticidae Blackwall,1841;Amphidraus cornipalpis;Salgado & Ruiz, 2019; Brazil
Salticidae Blackwall,1841;Amphidraus draconicaudatus;Salgado & Ruiz, 2017; Brazil
Salticidae Blackwall,1841;Amphidraus draconitupan;Salgado & Ruiz, 2019; Brazil
Salticidae Blackwall,1841;Amphidraus duckei;Galiano, 1967; Brazil
Salticidae Blackwall,1841;Amphidraus guaitipan;Galvis, 2017; Colombia
Salticidae Blackwall,1841;Amphidraus guatavita;Galvis, 2017; Colombia
Salticidae Blackwall,1841;Amphidraus janauari;Salgado & Ruiz, 2017; Brazil
Salticidae Blackwall,1841;Amphidraus loxodontillus;Salgado & Ruiz, 2017; Brazil
Salticidae Blackwall,1841;Amphidraus mae;Galvis, 2017; Colombia
Salticidae Blackwall,1841;Amphidraus manauara;Salgado & Ruiz, 2019; Brazil
Salticidae Blackwall,1841;Amphidraus mysticetus;Salgado & Ruiz, 2017; Brazil
