Familia,Especie,Autor,Distribución
Salticidae,Phanias flavostriatus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Phanias furcillatus,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Phiale bisignata,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Guatemala"
Salticidae,Phidippus adonis,"Edwards, 2004", Mexico
Salticidae,Phidippus albulatus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Phidippus amans,"Edwards, 2004", Mexico
Salticidae,Phidippus apacheanus,"Chamberlin & Gertsch, 1929"," USA, Mexico, Cuba"
Salticidae,Phidippus ardens,"Peckham & Peckham, 1901"," USA, Mexico"
Salticidae,Phidippus arizonensis,"(Peckham & Peckham, 1883)"," USA, Mexico"
Salticidae,Phidippus asotus,"Chamberlin & Ivie, 1933"," USA, Mexico"
Salticidae,Phidippus audax,"(Hentz, 1845)"," North America. Introduced to Hawaii, Azores, Netherlands, India (Nicobar Is.)"
Salticidae,Phidippus bidentatus,"F. O. Pickard-Cambridge, 1901", USA to Costa Rica
Salticidae,Phidippus boei,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus californicus,"Peckham & Peckham, 1901", North America
Salticidae,Phidippus cardinalis,"(Hentz, 1845)"," USA, Mexico, possibly Panama"
Salticidae,Phidippus carneus,"Peckham & Peckham, 1896"," USA, Mexico"
Salticidae,Phidippus carolinensis,"Peckham & Peckham, 1909"," USA, Mexico"
Salticidae,Phidippus cerberus,"Edwards, 2004", Mexico
Salticidae,Phidippus clarus,"Keyserling, 1885", North America
Salticidae,Phidippus comatus,"Peckham & Peckham, 1901", North America
Salticidae,Phidippus cruentus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Phidippus dianthus,"Edwards, 2004", Mexico
Salticidae,Phidippus georgii,"Peckham & Peckham, 1896", Mexico to El Salvador
Salticidae,Phidippus johnsoni,"(Peckham & Peckham, 1883)", North America
Salticidae,Phidippus maddisoni,"Edwards, 2004", Mexico
Salticidae,Phidippus mimicus,"Edwards, 2004", Mexico
Salticidae,Phidippus morpheus,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus nikites,"Chamberlin & Ivie, 1935"," USA, Mexico"
Salticidae,Phidippus octopunctatus,"(Peckham & Peckham, 1883)"," USA, Mexico"
Salticidae,Phidippus phoenix,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus pius,"Scheffer, 1905", USA to Costa Rica
Salticidae,Phidippus pompatus,"Edwards, 2004", Mexico
Salticidae,Phidippus texanus,"Banks, 1906"," USA, Mexico"
Salticidae,Phidippus toro,"Edwards, 1978"," USA, Mexico"
Salticidae,Phidippus tux,"Pinter, 1970"," USA, Mexico"
Salticidae,Phidippus tyrannus,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus tyrrelli,"Peckham & Peckham, 1901", North America
Salticidae,Phidippus venus,"Edwards, 2004", Mexico
Salticidae,Phidippus zethus,"Edwards, 2004", Mexico
Salticidae,Platycryptus californicus,"(Peckham & Peckham, 1888)"," North, Central America"
Salticidae,Platycryptus magnus,"(Peckham & Peckham, 1894)", Mexico to Brazil
Salticidae,Platycryptus undatus,"(De Geer, 1778)", North America
Salticidae,Plexippus seladonicus,"C. L. Koch, 1846", Mexico
Salticidae,Plexippus taeniatus,"C. L. Koch, 1846", Mexico
Salticidae,Salticus austinensis,"Gertsch, 1936"," USA, Mexico, Central America"
Salticidae,Salticus palpalis,"(Banks, 1904)"," USA, Mexico"
Salticidae,Salticus scenicus,"(Clerck, 1757)"," North America, Europe, Russia (Europe to Far East), Caucasus, Kazakhstan, Iran"
Salticidae,Sarinda cutleri,"(Richman, 1965)"," USA, Mexico"
Salticidae,Sassacus alboguttatus,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Sassacus aztecus,"Richman, 2008", Mexico
Salticidae,Sassacus barbipes,"(Peckham & Peckham, 1888)", Mexico to Costa Rica
Salticidae,Sassacus lirios,"Richman, 2008", Mexico to Costa Rica
Salticidae,Sassacus paiutus,"(Gertsch, 1934)"," USA, Mexico"
Salticidae,Sassacus papenhoei,"Peckham & Peckham, 1895", North America
Salticidae,Sassacus samalayucae,"Richman, 2008", Mexico
Salticidae,Sassacus vitis,"(Cockerell, 1894)", Canada to Panama
Salticidae,Semiopyla cataphracta,"Simon, 1901", Mexico to Argentina
Salticidae,Sidusa nigrina,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Sidusa perdita,"(Banks, 1898)", Mexico
Salticidae,Sittisax ranieri,"(Peckham & Peckham, 1909)"," North America, Northern Europe, Russia (Europe to Far North-East), Mongolia, Japan"
Salticidae,Synageles mexicanus,"Cutler, 1988"," USA, Mexico"
Salticidae,Synageles noxiosus,"(Hentz, 1850)"," North America, Bahama Is."
Salticidae,Synemosyna americana,"(Peckham & Peckham, 1885)", Mexico to Venezuela
Salticidae,Synemosyna decipiens,"(O. Pickard-Cambridge, 1896)"," Mexico, Guatemala"
Salticidae,Synemosyna edwardsi,"Cutler, 1985", Mexico to Costa Rica
Salticidae,Synemosyna maddisoni,"Cutler, 1985"," Mexico, Guatemala"
Salticidae,Tarkas maculatipes,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Guatemala"
Salticidae,Thiodina perian,"Bustamante & Ruiz, 2017", Mexico
Salticidae,Tomis palpalis,"F. O. Pickard-Cambridge, 1901"," Mexico, Argentina"
Salticidae,Zuniga magna,"Peckham & Peckham, 1892"," Mexico, Costa Rica to Brazil, Guyana, Peru, Argentina"
Salticidae,Zygoballus rufipes,"Peckham & Peckham, 1885", USA to Costa Rica
